新编号,原标识,来源,里程,记录数,TQI均值,TQI标准差,最佳MAE,改善幅度,类型
78,里程588400,批量样本,588400,256,2.18851171875,0.2556309684271354,0.1088535658564968,58.3%,批量样本
79,里程75400,批量样本,75400,180,1.620555555555555,0.1302885590839858,0.1090745214045214,10.0%,批量样本
80,里程140400,批量样本,140400,178,1.6658988764044942,0.1312544038491808,0.1097798094975513,10.4%,批量样本
81,里程146400,批量样本,146400,179,1.4967597765363123,0.1296044256074168,0.1109051680672269,12.8%,批量样本
82,里程484400,批量样本,484400,250,1.79616,0.2054646375147711,0.1115122347282347,31.3%,批量样本
83,里程465400,批量样本,465400,249,2.0586746987951807,0.2016830659103776,0.1160088703279291,14.6%,批量样本
84,里程307400,批量样本,307400,246,1.719878048780488,0.1640395216374223,0.1163431160212445,28.0%,批量样本
85,里程561400,批量样本,561400,251,1.9903187250996013,0.1598696281598482,0.1171811797042073,10.4%,批量样本
86,里程606400,批量样本,606400,252,1.723015873015873,0.1663542509190444,0.1172991710806356,19.6%,批量样本
87,里程587400,批量样本,587400,255,1.947764705882353,0.2137463531240486,0.1175794925575313,35.4%,批量样本
88,里程361400,批量样本,361400,253,2.2085770750988147,0.128706750279857,0.1184611708689278,17.4%,批量样本
89,里程500400,批量样本,500400,249,1.7418473895582332,0.1634550125639192,0.1196739534020236,22.5%,批量样本
90,里程598400,批量样本,598400,254,1.866023622047244,0.1650354358674744,0.1196863961509975,13.2%,批量样本
91,里程402400,批量样本,402400,252,1.9515079365079364,0.1195913857196852,0.1197635425850528,14.8%,批量样本
92,里程427400,批量样本,427400,244,1.833606557377049,0.1731554907871698,0.1207282635576753,24.9%,批量样本
93,里程216400,批量样本,216400,241,2.0150622406639003,0.1601252643296028,0.1212240649377832,22.0%,批量样本
94,里程583400,批量样本,583400,255,2.395215686274509,0.205805151497462,0.1212755323774898,20.5%,批量样本
95,里程476400,批量样本,476400,250,1.84672,0.1649840006846958,0.1219601885521885,16.4%,批量样本
96,里程1235400,批量样本,1235400,446,3.108017937219731,0.2178014034916359,0.12263851510655,52.3%,批量样本
97,里程235400,批量样本,235400,247,1.7564372469635623,0.1701585197956794,0.1232857201370207,16.9%,批量样本
98,里程340400,批量样本,340400,243,2.144156378600823,0.1601794197737733,0.123898736054575,21.8%,批量样本
99,里程141400,批量样本,141400,180,1.556888888888889,0.1690667412720347,0.1252642780600061,21.4%,批量样本
100,里程274400,批量样本,274400,244,1.9898360655737704,0.1768772730531772,0.1266002107793129,29.3%,批量样本
101,里程1184400,批量样本,1184400,460,2.6060978260869563,0.2215472851549618,0.1269978579178234,16.5%,批量样本
102,里程648400,批量样本,648400,262,1.8729007633587789,0.1590512510456461,0.1281553425254712,19.9%,批量样本
103,里程764400,批量样本,764400,431,3.214071925754061,0.186669716844345,0.1281750547308486,27.3%,批量样本
104,里程626400,批量样本,626400,248,1.7931048387096775,0.1519816374242096,0.1284667834316499,13.4%,批量样本
105,里程228400,批量样本,228400,241,1.7639004149377595,0.2009553599886314,0.1285969640223974,18.1%,批量样本
106,里程26400,批量样本,26400,182,1.7969780219780218,0.2707778636594939,0.128760298030851,28.2%,批量样本
107,里程607400,批量样本,607400,248,1.987096774193548,0.1634311958563166,0.1300332047139163,19.5%,批量样本
108,里程603400,批量样本,603400,252,1.8417063492063488,0.1831286995448205,0.1311496929648981,37.9%,批量样本
109,里程541400,批量样本,541400,255,2.149921568627451,0.2843904825766974,0.1314584959887363,44.7%,批量样本
110,里程263400,批量样本,263400,243,1.754074074074074,0.2177577950390651,0.1330315448413969,57.1%,批量样本
111,里程306400,批量样本,306400,245,2.144530612244898,0.1617054474128323,0.135719500248912,18.0%,批量样本
112,里程223400,批量样本,223400,194,1.9838659793814435,0.2455257710001165,0.1365724334931713,35.2%,批量样本
113,里程335400,批量样本,335400,244,2.0267622950819675,0.1552264006054275,0.1373100336173091,10.6%,批量样本
114,里程377400,批量样本,377400,247,2.1675708502024285,0.1812596227904942,0.1379488411704829,33.9%,批量样本
115,里程416400,批量样本,416400,253,1.5618577075098816,0.1729807182285083,0.1403083334298766,22.0%,批量样本
116,里程46400,批量样本,46400,179,2.2368156424581005,0.3348342279447803,0.1426449905756041,19.0%,批量样本
117,里程653400,批量样本,653400,263,1.8266159695817488,0.1557778832321983,0.1432324603941279,11.2%,批量样本
118,里程446400,批量样本,446400,251,1.951354581673307,0.1854177924820708,0.1435091507272285,12.9%,批量样本
