mile,historical_mean,moving_average,timemixer,v21,v23,best,v23_improvement
744400,0.8030297008547004,1.3274102564102568,0.8030297008547004,1.694913807098461,1.2434138070984622,历史均值,-0.4403841062437618
745400,0.2530014470209456,0.5850259740259739,0.2530014470209456,0.2314593262271082,0.4403548474050275,v2.1,-0.18735340038408188
746400,0.4561064283905512,0.7569826839826851,0.4561064283905512,0.5137561555722797,0.29929580458925353,v2.3,0.15681062380129768
747400,0.8801079839380679,2.317207792207792,0.8801079839380679,0.5709708702852317,0.4005998388476538,v2.3,0.47950814509041406
748400,0.9693963675213666,2.661410256410256,0.9693963675213666,0.9646308340281495,0.5440019675242828,v2.3,0.42539439999708384
749400,0.8225663817663821,1.1838803418803419,0.8225663817663821,0.607530303691525,0.39691633117107855,v2.3,0.42565005059530353
750400,0.9751736467236469,1.0741196581196577,0.9751736467236469,0.5107638980164714,0.4660386487287222,v2.3,0.5091349979949247
751400,1.0773810541310542,1.3102393162393167,1.0773810541310542,0.7073751698654188,0.5446863827266317,v2.3,0.5326946714044225
752400,1.1950395299145307,1.2770256410256404,1.1950395299145307,1.0931634646352024,0.7984967979685365,v2.3,0.3965427319459942
753400,1.1286230769230774,1.4317948717948719,1.1286230769230774,0.7230051514306953,0.5991141257896694,v2.3,0.529508951133408
754400,1.3189433611884869,1.4700000000000002,1.3189433611884869,0.7263356652601431,1.4462483636728425,v2.1,-0.1273050024843556
755400,0.7063256410256412,0.8485982905982906,0.7063256410256412,0.7071333347906237,0.37241382768268966,v2.3,0.33391181334295156
758400,1.0320334623593674,2.665584415584416,1.0320334623593674,0.5718956495183569,0.5351816608453152,v2.3,0.4968518015140523
759400,1.3333611111111112,1.6429999999999996,1.3333611111111112,1.3248301942386027,1.2628301942386024,v2.3,0.07053091687250879
760400,1.2402241452991443,1.6630769230769238,1.2402241452991443,1.2355199800897698,1.0701866467564365,v2.3,0.17003749854270778
