tqi_mile,record_count,tqi_mean,tqi_std,tqi_min,tqi_max,date_min,date_max,time_span_days
827400,490,2.6804816326530614,0.7353826964893161,0.94,10.0,2012-12-12,2026-03-19,4845
828400,490,2.8361163265306124,0.7396350898889715,1.05,9.1,2012-12-12,2026-03-19,4845
829400,490,3.3634714285714287,0.6595878215022081,1.3,7.6,2012-12-12,2026-03-19,4845
830400,488,3.1583729508196723,0.4297915738669673,1.6,8.407,2012-12-12,2026-03-19,4845
831400,490,2.8430653061224493,0.5548263862099324,1.22,4.84,2012-12-12,2026-03-19,4845
832400,486,3.4403271604938266,0.512597032265688,2.02,10.5,2012-12-12,2026-03-19,4845
833400,415,4.096404819277108,0.6610761976558778,1.84,10.9,2012-12-12,2026-03-19,4845
834400,488,3.24218237704918,0.7634295697334588,1.1,8.4,2012-12-12,2026-03-19,4845
835400,488,3.2824241803278684,0.6195517476016071,1.29,6.514,2012-12-12,2026-03-19,4845
836400,489,3.0487382413087936,0.5391110026193691,1.4,8.5,2012-12-12,2026-03-19,4845
837400,489,3.1208016359918203,0.6082037813672726,1.39,8.4,2012-12-12,2026-03-19,4845
838400,486,2.737598765432099,0.6001217690168864,0.94,4.704,2012-12-12,2026-03-19,4845
839400,486,3.2461975308641975,0.6636577944374662,1.1,6.37,2012-12-12,2026-03-19,4845
840400,488,3.3407991803278687,0.6226568864088353,1.4,7.65,2012-12-12,2026-03-19,4845
841400,487,3.0219445585215605,0.6579973537150812,1.2,7.15,2012-12-12,2026-03-19,4845
842400,488,3.4288319672131147,0.6479048213577572,1.3,9.85,2012-12-12,2026-03-19,4845
843400,486,3.4766296296296293,0.7191204153834779,1.0,6.049,2012-12-12,2026-03-19,4845
844400,488,3.270141393442623,0.7596526727737247,1.3,13.6,2012-12-12,2026-03-19,4845
845400,487,2.9319240246406566,0.5953431354675872,1.1,4.3,2012-12-12,2026-03-19,4845
846400,488,3.203434426229508,0.6208034370036649,1.52,7.19,2012-12-12,2026-03-19,4845
847400,488,3.1328934426229504,0.5911154986718368,1.4,4.56,2012-12-12,2026-03-19,4845
848400,487,2.956934291581109,0.51648489812821,1.4,6.721,2012-12-12,2026-03-19,4845
849400,486,2.88532304526749,0.5276713446871102,1.3,5.831,2012-12-12,2026-03-19,4845
850400,487,2.6187597535934293,0.43934433211650986,1.0,5.502,2012-12-12,2026-03-19,4845
851400,486,3.32579012345679,1.1373678281363389,1.1,24.4,2012-12-12,2026-03-19,4845
852400,488,3.2696004098360656,0.7378059836898995,0.93,5.878,2012-12-12,2026-03-19,4845
853400,488,3.3371782786885245,0.8909457742583998,1.0,5.098,2012-12-12,2026-03-19,4845
854400,487,3.0884640657084192,0.7536502298636679,0.86,8.5,2012-12-12,2026-03-19,4845
855400,488,2.9445532786885247,0.7465860789863756,1.02,10.0,2012-12-12,2026-03-19,4845
856400,488,2.9926475409836066,2.265042145456038,0.87,45.32,2012-12-12,2026-03-19,4845
857400,487,3.3108501026694044,0.6511597505178234,1.02,5.2,2012-12-12,2026-03-19,4845
858400,487,3.0105441478439423,0.688786421293327,1.06,5.464,2012-12-12,2026-03-19,4845
859400,489,3.3729406952965233,0.6916786146050595,1.5,7.055,2012-12-12,2026-03-19,4845
860400,487,3.336640657084189,0.6556138739204149,1.23,6.25,2012-12-12,2026-03-19,4845
861400,487,3.07647022587269,0.9551805135219673,1.2,20.1,2012-12-12,2026-03-19,4845
862400,488,2.655577868852459,0.5079159517550067,0.91,3.99,2012-12-12,2026-03-19,4845
863400,486,3.3749300411522634,0.619351332804075,1.5,4.57,2012-12-12,2026-03-19,4845
864400,488,3.0735286885245903,0.6707196931452174,1.4,6.446,2012-12-12,2026-03-19,4845
865400,487,2.9917371663244356,1.0306190160727287,1.09,20.9,2012-12-12,2026-03-19,4845
866400,487,3.1106488706365507,0.5948912114069392,1.29,4.725,2012-12-12,2026-03-19,4845
867400,487,2.9610677618069814,0.5645762873941648,1.01,5.565,2012-12-12,2026-03-19,4845
868400,488,3.1433053278688523,0.7068157294316293,1.05,5.867,2012-12-12,2026-03-19,4845
869400,488,3.369877049180328,0.7497808394684311,1.29,5.03,2012-12-12,2026-03-19,4845
870400,488,2.7901475409836065,0.5241013221182492,1.0,4.94,2012-12-12,2026-03-19,4845
871400,487,3.137710472279261,0.8759645291508298,1.1,9.01,2012-12-12,2026-03-19,4845
872400,487,3.3681437371663248,0.9021501840634728,1.1,6.71,2012-12-12,2026-03-19,4845
873400,488,3.2615348360655734,0.8927233273728777,1.1,6.08,2012-12-12,2026-03-19,4845
874400,489,3.383709611451943,0.8309587499931737,1.4,7.175,2012-12-12,2026-03-19,4845
875400,490,3.039018367346939,0.8640566529212373,1.1,6.468,2012-12-12,2026-03-19,4845
876400,490,3.2878306122448975,0.5804083410968155,1.0,5.008,2012-12-12,2026-03-19,4845
877400,486,2.794763374485597,1.0534195253887402,1.0,23.0,2012-12-12,2026-03-19,4845
878400,487,2.669394250513347,0.5872306918060176,1.0,4.973,2012-12-12,2026-03-19,4845
879400,489,2.9358241308793454,0.518654313464685,1.36,9.6,2012-12-12,2026-03-19,4845
880400,485,3.3816453608247423,1.6729194745073888,1.85,38.23,2012-12-12,2026-03-19,4845
881400,487,2.9115995893223823,0.5345565427212411,1.5,4.97,2012-12-12,2026-03-19,4845
882400,487,3.455626283367556,0.5583580056895752,1.59,5.298,2012-12-12,2026-03-19,4845
883400,461,3.612498915401302,0.5360577825146029,1.83,5.91,2012-12-12,2026-03-19,4845
884400,483,3.8637598343685298,0.9282210332669384,1.5,16.283,2012-12-12,2026-03-19,4845
885400,490,3.3522448979591837,0.523476577530843,1.4,4.718,2012-12-12,2026-03-19,4845
886400,491,3.2401364562118125,0.4137694661736412,1.79,4.22,2012-12-12,2026-03-19,4845
887400,491,3.2649551934826886,1.1531065821618636,1.67,26.571,2012-12-12,2026-03-19,4845
888400,488,2.697469262295082,0.45299033251610143,1.35,6.855,2012-12-12,2026-03-19,4845
889400,489,3.052351738241309,0.5407386408109094,1.22,7.6,2012-12-12,2026-03-19,4845
890400,489,2.679914110429448,0.37480715367229905,1.34,5.512,2012-12-12,2026-03-19,4845
891400,487,3.122160164271047,0.4868595793601968,1.7,6.743,2012-12-12,2026-03-19,4845
892400,490,3.0881979591836735,0.47766479034838527,1.54,7.352,2012-12-12,2026-03-19,4845
893400,490,2.8979530612244893,0.58227985021647,1.3,7.093,2012-12-12,2026-03-19,4845
894400,490,3.364414285714286,0.5261465480068743,1.29,9.11,2012-12-12,2026-03-19,4845
895400,490,2.673183673469388,1.0545995096264122,1.22,22.91,2012-12-12,2026-03-19,4845
896400,490,2.983563265306122,0.4984799482130671,1.29,6.376,2012-12-12,2026-03-19,4845
897400,488,2.8705860655737707,0.5189545215645107,0.96,8.82,2012-12-12,2026-03-19,4845
898400,489,2.935867075664622,1.6931592151320907,1.39,39.07,2012-12-12,2026-03-19,4845
899400,488,3.092200819672131,1.8230909524155985,1.27,41.72,2012-12-12,2026-03-19,4845
900400,489,2.8777811860940696,0.4397082061214659,1.32,4.204,2012-12-12,2026-03-19,4845
