mile,record_count,tqi_mean,tqi_std,tqi_min,tqi_max,date_min,date_max,unique_months,time_span_days,expected_months,monthly_coverage
880400.0,441,3.330310657596372,0.5139406148041314,1.9,4.836,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
881400.0,444,2.925650900900901,0.5311392136819678,1.5,4.12,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
882400.0,445,3.4527640449438204,0.5512104947432817,1.6,5.298,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
884400.0,441,3.8296439909297053,0.7381607503952221,1.5,6.69,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
885400.0,448,3.3824776785714286,0.5052692767289848,1.98,4.718,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
886400.0,449,3.256140311804009,0.4011517296228039,1.85,4.22,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
887400.0,448,3.239089285714286,0.45666672486953624,1.78,4.649,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
888400.0,443,2.6817923250564335,0.3736714592907429,1.35,3.66,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
889400.0,444,3.060358108108108,0.4571856345361365,1.68,4.44,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
890400.0,442,2.698361990950226,0.3110507759493665,1.48,3.51,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
891400.0,445,3.098867415730337,0.44545345147036963,1.7,4.32,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
892400.0,447,3.0691834451901565,0.4309112124311301,1.54,4.17,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
893400.0,447,2.879046979865772,0.5512025622256189,1.3,4.87,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
894400.0,446,3.357329596412556,0.4231610699510109,1.93,4.37,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
895400.0,446,2.6212466367713003,0.5087070609546008,1.22,4.43,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
896400.0,447,2.9727964205816555,0.4705185920428769,1.48,4.897,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
897400.0,444,2.863367117117117,0.3940430335951302,1.5,4.21,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
898400.0,445,2.8581123595505615,0.41700819979737686,1.39,4.224,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
899400.0,445,2.9985955056179776,0.4860802662163733,1.27,4.166,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
900400.0,447,2.8948657718120807,0.430403549156199,1.43,4.204,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
901400.0,444,3.11613963963964,0.3937402271311243,1.58,3.87,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
902400.0,444,2.996707207207207,0.4018332985923959,1.6,4.25,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
903400.0,444,3.0750698198198196,0.5005684056635018,1.4,4.3,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
904400.0,446,2.688908071748879,0.4660298086404365,1.4,3.62,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
905400.0,447,2.893986577181208,0.5864187654136671,1.5,4.817,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
906400.0,444,3.1481824324324323,0.4535982755006737,1.59,4.2,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
907400.0,444,3.120457207207207,0.5277498342540351,1.7,4.551,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
908400.0,441,3.2097800453514735,0.5048632120422663,1.95,4.23,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
909400.0,441,2.743816326530612,0.40548082042537914,1.49,3.67,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
910400.0,443,2.9912437923250565,0.3604067889940567,1.66,4.38,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
911400.0,445,3.161208988764045,0.4997087520305776,1.58,4.521,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
