tqi_mile,record_count,tqi_mean,tqi_std,tqi_min,tqi_max,date_min,date_max,unique_months,time_span_days,expected_months,monthly_coverage
854400.0,446,3.065273542600897,0.7666755296100999,0.86,8.5,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
855400.0,447,2.9210111856823264,0.7597048443621024,1.02,10.0,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
856400.0,447,2.975463087248322,2.3607163412434296,0.87,45.32,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
857400.0,446,3.2905470852017937,0.656803396970801,1.02,5.2,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
858400.0,445,2.981696629213483,0.6962545486369339,1.06,5.464,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
859400.0,447,3.3740223713646533,0.7016412817727002,1.5,7.055,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
860400.0,446,3.3631704035874437,0.6552541578248878,1.3,6.25,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
861400.0,446,3.0800022421524664,0.9878072379370401,1.2,20.1,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
862400.0,446,2.634735426008969,0.5090364256635178,0.91,3.99,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
863400.0,445,3.367047191011236,0.6253613874273902,1.5,4.57,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
864400.0,446,3.057986547085202,0.6750379397066003,1.4,6.446,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
865400.0,446,2.9792062780269055,1.0647907733736344,1.09,20.9,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
866400.0,446,3.0929730941704032,0.6012448540780604,1.29,4.725,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
867400.0,447,2.953937360178971,0.5740075628126421,1.01,5.565,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
868400.0,447,3.1178590604026843,0.7152720485311008,1.05,5.867,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
869400.0,447,3.349865771812081,0.7560797315215717,1.3,5.03,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
870400.0,447,2.7810782997762864,0.530030586010392,1.0,4.94,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
871400.0,446,3.117163677130045,0.8936414572122703,1.1,9.01,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
872400.0,446,3.347995515695067,0.9200364599407436,1.1,6.71,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
873400.0,447,3.2367539149888143,0.9087761628664555,1.1,6.08,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
874400.0,448,3.363513392857143,0.8433430227131382,1.4,7.175,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
875400.0,448,3.0070959821428573,0.8750834423272301,1.1,6.468,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
876400.0,448,3.2769799107142856,0.5860755019642746,1.0,5.008,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
877400.0,445,2.8025955056179774,1.0922112531929782,1.0,23.0,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
878400.0,446,2.6686210762331837,0.5985167339458612,1.0,4.973,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
