tqi_mile,original_count,clean_count,time_span_days,tqi_mean,tqi_std,seasonal_amplitude,data_driven_mae,rolling_anchor_mae,post_maintenance_mae,best_strategy,trident_improvement,is_trident_effective,best_trident_mae
504400,260,241,2627,1.6339419087136928,0.1228270326299343,0.1566666666666667,0.1213845401174169,0.0831044895516777,0.0890750035632876,rolling_anchor,31.53618288516013,True,0.0831044895516777
444400,260,252,2627,1.8464285714285715,0.147202136469611,0.1459649122807014,0.1425239234449761,0.0838782814492514,0.1077802953800784,rolling_anchor,41.14792841663936,True,0.0838782814492514
148400,183,179,1879,1.7616759776536317,0.1135607842657652,0.1916666666666666,0.1133985185185185,0.0841347688787449,0.1932008788947676,rolling_anchor,25.806112832942077,True,0.0841347688787449
503400,260,248,2627,1.6212903225806454,0.1255915089185814,0.1660000000000001,0.1305094412331404,0.0842327456800189,0.1337946140455118,rolling_anchor,35.45850408665328,True,0.0842327456800189
372400,259,251,2627,1.9141035856573705,0.1125712806496027,0.2510000000000001,0.1037383458646617,0.0847741458291937,0.087502987541317,rolling_anchor,18.280800486455536,True,0.0847741458291937
445400,259,248,2627,1.9206048387096772,0.1292677802270626,0.2572222222222224,0.0973294797687861,0.0848706829711201,0.1722292491930427,rolling_anchor,12.800640491722392,True,0.0848706829711201
97400,183,179,1879,1.4420670391061452,0.1083672282319106,0.1658928571428573,0.1038844444444443,0.0857865824409326,0.1489128689006469,rolling_anchor,17.42114721823455,True,0.0857865824409326
350400,252,237,2627,1.9649367088607597,0.1057604434606195,0.1659999999999999,0.1019696969696969,0.086313945615576,0.093204203140702,rolling_anchor,15.35333713777089,True,0.086313945615576
299400,251,244,2627,1.6335245901639344,0.1302256486159486,0.2032500000000001,0.1319205087440381,0.0939006918643142,0.0875076974666758,post_maintenance,33.66634323972727,True,0.0875076974666758
502400,260,252,2627,1.7953968253968255,0.1871303561400045,0.1982105263157896,0.1910825358851674,0.0883822370944947,0.1325729745785147,rolling_anchor,53.74656470562611,True,0.0883822370944947
115400,183,167,1879,1.349880239520958,0.094333349096433,0.1141666666666667,0.1076183231913455,0.0916590089392856,0.0900631666808137,post_maintenance,16.312423377307887,True,0.0900631666808137
412400,258,247,2627,2.06080971659919,0.1620403198930981,0.4250434782608694,0.1272387596899225,0.1052796913998414,0.0909396850492503,post_maintenance,28.52831537271513,True,0.0909396850492503
495400,260,249,2627,2.303775100401607,0.1650104029665628,0.2710000000000003,0.1582436781609194,0.0919825667002218,0.0915344185520736,post_maintenance,42.15603453112897,True,0.0915344185520736
447400,260,250,2627,1.88148,0.1610925598884244,0.4199999999999999,0.1322156190476191,0.0923891706390292,0.3655795941514207,rolling_anchor,30.12234764354571,True,0.0923891706390292
316400,251,243,2627,1.5850617283950617,0.1202798746257058,0.1757142857142859,0.1200185334407737,0.0926244157600555,0.0928234723593835,rolling_anchor,22.82490620020496,True,0.0926244157600555
676400,245,237,2619,1.743966244725738,0.1185518503804759,0.2365277777777776,0.1128114478114478,0.0926376139428835,0.2246096798399496,rolling_anchor,17.882789610397236,True,0.0926376139428835
154400,183,175,1879,1.4861714285714287,0.122134626519566,0.1791666666666667,0.1049860810392824,0.0928368048592299,0.1075540907695253,rolling_anchor,11.572273257353665,True,0.0928368048592299
125400,183,174,1879,1.6080459770114943,0.1223360205341754,0.17375,0.1044440979260876,0.1170560028627075,0.0928913213239971,post_maintenance,11.06120578519055,True,0.0928913213239971
264400,252,245,2627,1.806122448979592,0.191409957499717,0.389,0.1538880986249406,0.0933198241464495,0.3773401624454258,rolling_anchor,39.35864762752671,True,0.0933198241464495
485400,260,251,2627,1.7404382470119522,0.1578968244497486,0.4186363636363632,0.1136315789473683,0.0934833796807479,0.2601258127837074,rolling_anchor,17.731161929865127,True,0.0934833796807479
461400,257,250,2627,1.86124,0.1791447284598119,0.3372941176470592,0.2019649523809518,0.0936921263195773,0.1800816921640455,rolling_anchor,53.60971039031928,True,0.0936921263195773
367400,259,247,2627,1.871740890688259,0.1354809472250326,0.312777777777778,0.1180294573643409,0.0941132540416356,0.2132226958496325,rolling_anchor,20.26291051129656,True,0.0941132540416356
351400,252,244,2627,1.900901639344262,0.1183077113513854,0.1911413043478258,0.1109030206677265,0.095058106005996,0.1150762134946917,rolling_anchor,14.287180426945245,True,0.095058106005996
265400,252,244,2627,1.5689754098360658,0.1389532273566737,0.2562499999999998,0.1058473767885532,0.0951603437853437,0.1476227695418873,rolling_anchor,10.096644175281323,True,0.0951603437853437
389400,259,245,2627,2.242326530612245,0.1520754487782651,0.1849999999999996,0.1402275960170694,0.0962853186893434,0.1177568009673272,rolling_anchor,31.33639781029767,True,0.0962853186893434
302400,251,245,2627,1.9684897959183671,0.1729462773651586,0.2722285714285712,0.1562162162162165,0.134889209955743,0.0977917545773954,post_maintenance,37.39974187952208,True,0.0977917545773954
126400,183,178,1879,1.5892696629213483,0.1473840644855898,0.2642500000000001,0.1217144563918757,0.099533800592674,0.0978485686787657,post_maintenance,19.608096211899944,True,0.0978485686787657
354400,252,247,2627,1.982672064777328,0.1601274446351847,0.3526666666666664,0.1616930232558141,0.0981974616347831,0.135963417989418,rolling_anchor,39.26920305063181,True,0.0981974616347831
404400,255,246,2627,1.873373983739837,0.1348604659623243,0.2132367149758454,0.1264692017598994,0.0985423230879722,0.1039982462984009,rolling_anchor,22.08196010040931,True,0.0985423230879722
131400,183,178,1879,1.428483146067416,0.1258483180235969,0.17175,0.1246983273596174,0.1150095003552995,0.0995879629629629,post_maintenance,20.13688950633532,True,0.0995879629629629
479400,260,249,2627,2.047951807228916,0.1971373295455475,0.5604444444444447,0.1438666666666665,0.1001149737108357,0.4374954649947749,rolling_anchor,30.41127869960441,True,0.1001149737108357
95400,183,180,1879,1.4674999999999996,0.1228110007264876,0.1149999999999999,0.1426254545454546,0.1373736122664554,0.1016173088023087,post_maintenance,28.75233307675565,True,0.1016173088023087
300400,251,243,2627,1.853703703703704,0.1096626432145623,0.145,0.1161684125705078,0.1024676178701579,0.1142958215380709,rolling_anchor,11.79390713636053,True,0.1024676178701579
345400,253,243,2627,1.9041152263374483,0.1221143748799648,0.147,0.1462852538275585,0.1026081981012893,0.4183127469370565,rolling_anchor,29.857456294094963,True,0.1026081981012893
627400,260,251,2627,2.4854183266932277,0.2136092795334249,0.1885858585858582,0.178806015037594,0.1032417556731344,0.1718831066117967,rolling_anchor,42.2604683341174,True,0.1032417556731344
133400,183,177,1850,1.5175141242937855,0.1256823696387333,0.1829166666666668,0.120069256248118,0.1130099312660472,0.103582679778818,post_maintenance,13.730889142205784,True,0.103582679778818
434400,259,245,2627,2.4493061224489803,0.1942195609927024,0.2075555555555559,0.1599573257467995,0.103629423077759,0.2809868027081652,rolling_anchor,35.2143313262209,True,0.103629423077759
497400,260,251,2627,1.9315537848605575,0.1940463246124943,0.4819444444444447,0.1377624060150376,0.104595784039089,0.3138699365263218,rolling_anchor,24.075234264076524,True,0.104595784039089
286400,251,242,2627,1.828471074380165,0.1553143552681718,0.3309523809523809,0.1499546080894869,0.1048093434162826,0.2697461356710109,rolling_anchor,30.10595356046904,True,0.1048093434162826
542400,260,249,2627,1.921124497991968,0.1556267912264094,0.319818181818182,0.1212076628352489,0.1050475156270717,0.2080345786702606,rolling_anchor,13.332611841664544,True,0.1050475156270717
208400,253,247,2627,1.686518218623482,0.1586939282963107,0.1912499999999999,0.1282379844961239,0.1066918980064985,0.155916349833741,rolling_anchor,16.801641552840145,True,0.1066918980064985
455400,210,205,2611,1.9699512195121955,0.1818248930329581,0.4368750000000001,0.15683284457478,0.1070868676486559,0.131206214550261,rolling_anchor,31.71910645439099,True,0.1070868676486559
463400,260,252,2627,1.869206349206349,0.2459281246814356,0.5504444444444445,0.2410107655502391,0.1076962706769207,0.290578004743794,rolling_anchor,55.31474686159972,True,0.1076962706769207
304400,251,240,2627,1.9177083333333331,0.1323877843808768,0.2478409090909088,0.1331183862433862,0.1079244603232928,0.1921959267381416,rolling_anchor,18.92595503225996,True,0.1079244603232928
588400,260,256,4521,2.18851171875,0.2556309684271354,0.3182057416267942,0.2609302038743377,0.1149726892373854,0.1088535658564968,post_maintenance,58.28249691288326,True,0.1088535658564968
75400,183,180,1879,1.620555555555555,0.1302885590839858,0.1858333333333333,0.1212072727272727,0.1090745214045214,0.3707088744588744,rolling_anchor,10.009920238079353,True,0.1090745214045214
140400,183,178,1879,1.6658988764044942,0.1312544038491808,0.2466666666666666,0.1224581839904421,0.1097798094975513,0.2208688889764156,rolling_anchor,10.353227591453011,True,0.1097798094975513
146400,183,179,1879,1.4967597765363123,0.1296044256074168,0.2308333333333332,0.1271140740740741,0.1109051680672269,0.2126477865961198,rolling_anchor,12.751464481739184,True,0.1109051680672269
484400,260,250,2627,1.79616,0.2054646375147711,0.5699090909090907,0.1623771428571428,0.1115122347282347,0.4024454256854254,rolling_anchor,31.325165127248468,True,0.1115122347282347
465400,260,249,2627,2.0586746987951807,0.2016830659103776,0.5294761904761904,0.1358214559386974,0.1423524165951994,0.1160088703279291,post_maintenance,14.587228117853954,True,0.1160088703279291
307400,251,246,2627,1.719878048780488,0.1640395216374223,0.2092499999999999,0.1615241986172218,0.1163431160212445,0.1616257354140077,rolling_anchor,27.97171134898918,True,0.1163431160212445
561400,260,251,2627,1.9903187250996013,0.1598696281598482,0.3325555555555557,0.1307999999999999,0.1171811797042073,0.3603481504233854,rolling_anchor,10.41194212216561,True,0.1171811797042073
606400,259,252,2627,1.723015873015873,0.1663542509190444,0.3255555555555558,0.1458732057416268,0.1279097152081403,0.1172991710806356,post_maintenance,19.58826812348389,True,0.1172991710806356
587400,260,255,2627,1.947764705882353,0.2137463531240486,0.4496666666666669,0.1819538888078214,0.1175794925575313,0.2935443129587529,rolling_anchor,35.37951107947019,True,0.1175794925575313
361400,258,253,2627,2.2085770750988147,0.128706750279857,0.2570000000000001,0.1434953910199226,0.1184611708689278,0.1425698082520115,rolling_anchor,17.44600991924474,True,0.1184611708689278
500400,260,249,2627,1.7418473895582332,0.1634550125639192,0.2360526315789473,0.1544000000000001,0.1196739534020236,0.1369386071238701,rolling_anchor,22.490962822523617,True,0.1196739534020236
598400,260,254,2627,1.866023622047244,0.1650354358674744,0.2361538461538459,0.1378861251742607,0.120782519782596,0.1196863961509975,post_maintenance,13.199101070004229,True,0.1196863961509975
402400,259,252,2627,1.9515079365079364,0.1195913857196852,0.1217391304347825,0.1405322966507179,0.1197635425850528,0.3484903786145203,rolling_anchor,14.778634207682698,True,0.1197635425850528
427400,258,244,2627,1.833606557377049,0.1731554907871698,0.3514444444444442,0.1607631160572337,0.1207282635576753,0.1412521518933283,rolling_anchor,24.903008526722896,True,0.1207282635576753
216400,251,241,2627,2.0150622406639003,0.1601252643296028,0.1288421052631576,0.1555014677103718,0.1212240649377832,0.2015824807452422,rolling_anchor,22.043137776957654,True,0.1212240649377832
583400,260,255,2627,2.395215686274509,0.205805151497462,0.3275833333333331,0.1526411790456734,0.1212755323774898,0.1223140888029562,rolling_anchor,20.54861398757821,True,0.1212755323774898
476400,259,250,2627,1.84672,0.1649840006846958,0.3961363636363637,0.1459108571428571,0.1290443867243867,0.1219601885521885,post_maintenance,16.414589743119105,True,0.1219601885521885
1235400,501,446,4837,3.108017937219731,0.2178014034916359,0.1965315217391308,0.2571754688097973,0.2319853866445013,0.12263851510655,post_maintenance,52.31329190372684,True,0.12263851510655
235400,252,247,2627,1.7564372469635623,0.1701585197956794,0.1796739130434783,0.1483271317829457,0.1232857201370207,0.3500059643335239,rolling_anchor,16.88255637719017,True,0.1232857201370207
340400,252,243,2627,2.144156378600823,0.1601794197737733,0.2279999999999999,0.1584794520547947,0.123898736054575,0.3197114988298257,rolling_anchor,21.8203152218518,True,0.123898736054575
141400,183,180,1879,1.556888888888889,0.1690667412720347,0.2326923076923077,0.1593134545454545,0.1252642780600061,0.5640601764901769,rolling_anchor,21.37244251127176,True,0.1252642780600061
274400,252,244,2627,1.9898360655737704,0.1768772730531772,0.3855263157894739,0.1791605723370429,0.1266002107793129,0.2301589004850612,rolling_anchor,29.337013647652167,True,0.1266002107793129
1184400,509,460,4845,2.6060978260869563,0.2215472851549618,0.3415230263157895,0.1520510396975425,0.1603069244023892,0.1269978579178234,post_maintenance,16.47682372284633,True,0.1269978579178234
648400,273,262,2627,1.8729007633587789,0.1590512510456461,0.2028888888888889,0.1599847824583244,0.1281553425254712,0.3352824837018678,rolling_anchor,19.89529219202126,True,0.1281553425254712
764400,515,431,4589,3.214071925754061,0.186669716844345,0.2510878787878785,0.1762363915154615,0.1281750547308486,0.519276069823885,rolling_anchor,27.270949190080536,True,0.1281750547308486
626400,260,248,2627,1.7931048387096775,0.1519816374242096,0.1656666666666666,0.1483290944123314,0.1284667834316499,0.1426336703713596,rolling_anchor,13.39070467555567,True,0.1284667834316499
228400,253,241,2623,1.7639004149377595,0.2009553599886314,0.3219078947368421,0.1569553163731245,0.1285969640223974,0.3888491990100328,rolling_anchor,18.067787065786124,True,0.1285969640223974
26400,183,182,1866,1.7969780219780218,0.2707778636594939,0.2624999999999999,0.1793199713672154,0.128760298030851,0.3105162831918737,rolling_anchor,28.19522719687878,True,0.128760298030851
