日期,TQI值,检测日期,年份,月份,距2021年,是否异常,样本权重,年月
2019-12-03,3.67,2019-12-03,2019,12,-2,False,1.0,2019-12
2019-12-08,3.21,2019-12-08,2019,12,-2,False,1.0,2019-12
2019-12-13,3.42,2019-12-13,2019,12,-2,False,1.0,2019-12
2019-12-17,3.48,2019-12-17,2019,12,-2,False,1.0,2019-12
2019-12-23,3.67,2019-12-23,2019,12,-2,False,1.0,2019-12
2019-12-29,2.12,2019-12-29,2019,12,-2,False,1.0,2019-12
2020-01-06,3.18,2020-01-06,2020,1,-1,False,1.0,2020-01
2020-01-11,3.64,2020-01-11,2020,1,-1,False,1.0,2020-01
2020-01-19,3.11,2020-01-19,2020,1,-1,False,1.0,2020-01
2020-02-07,2.33,2020-02-07,2020,2,-1,False,1.0,2020-02
2020-02-13,3.31,2020-02-13,2020,2,-1,False,1.0,2020-02
2020-02-19,3.52,2020-02-19,2020,2,-1,False,1.0,2020-02
2020-02-25,3.56,2020-02-25,2020,2,-1,False,1.0,2020-02
2020-03-02,3.62,2020-03-02,2020,3,-1,False,1.0,2020-03
2020-03-16,3.8,2020-03-16,2020,3,-1,False,1.0,2020-03
2020-03-23,3.83,2020-03-23,2020,3,-1,False,1.0,2020-03
2020-03-31,3.85,2020-03-31,2020,3,-1,False,1.0,2020-03
2020-04-06,3.95,2020-04-06,2020,4,-1,False,1.0,2020-04
2020-04-14,3.76,2020-04-14,2020,4,-1,False,1.0,2020-04
2020-04-20,4.47,2020-04-20,2020,4,-1,False,1.0,2020-04
2020-04-28,4.08,2020-04-28,2020,4,-1,False,1.0,2020-04
2020-05-10,4.19,2020-05-10,2020,5,-1,False,1.0,2020-05
2020-05-23,4.08,2020-05-23,2020,5,-1,False,1.0,2020-05
2020-06-06,4.23,2020-06-06,2020,6,-1,False,1.0,2020-06
2020-06-23,3.98,2020-06-23,2020,6,-1,False,1.0,2020-06
2020-07-06,3.74,2020-07-06,2020,7,-1,False,3.0,2020-07
2020-07-14,4.26,2020-07-14,2020,7,-1,False,3.0,2020-07
2020-07-23,2.95,2020-07-23,2020,7,-1,False,3.0,2020-07
2020-08-06,3.91,2020-08-06,2020,8,-1,False,3.0,2020-08
2020-08-23,3.7,2020-08-23,2020,8,-1,False,3.0,2020-08
2020-09-09,3.62,2020-09-09,2020,9,-1,False,3.0,2020-09
2020-09-22,3.58,2020-09-22,2020,9,-1,False,3.0,2020-09
2020-10-06,3.56,2020-10-06,2020,10,-1,False,1.0,2020-10
2020-10-19,3.43,2020-10-19,2020,10,-1,False,1.0,2020-10
2020-11-03,3.84,2020-11-03,2020,11,-1,False,1.0,2020-11
2020-11-11,3.34,2020-11-11,2020,11,-1,False,1.0,2020-11
2020-11-18,3.66,2020-11-18,2020,11,-1,False,1.0,2020-11
2020-11-23,2.73,2020-11-23,2020,11,-1,False,1.0,2020-11
2020-12-03,3.59,2020-12-03,2020,12,-1,False,1.0,2020-12
2020-12-11,3.62,2020-12-11,2020,12,-1,False,1.0,2020-12
2020-12-18,3.42,2020-12-18,2020,12,-1,False,1.0,2020-12
2020-12-26,3.71,2020-12-26,2020,12,-1,False,1.0,2020-12
2021-01-03,3.46,2021-01-03,2021,1,0,False,2.0,2021-01
2021-01-17,3.34,2021-01-17,2021,1,0,False,2.0,2021-01
2021-01-23,3.24,2021-01-23,2021,1,0,False,2.0,2021-01
2021-01-28,2.5,2021-01-28,2021,1,0,False,2.0,2021-01
2021-02-02,2.4,2021-02-02,2021,2,0,False,2.0,2021-02
2021-02-06,2.01,2021-02-06,2021,2,0,False,2.0,2021-02
2021-02-18,3.41,2021-02-18,2021,2,0,False,2.0,2021-02
2021-02-26,3.51,2021-02-26,2021,2,0,False,2.0,2021-02
2021-03-13,3.66,2021-03-13,2021,3,0,False,2.0,2021-03
2021-03-23,3.66,2021-03-23,2021,3,0,False,2.0,2021-03
2021-03-29,3.99,2021-03-29,2021,3,0,False,2.0,2021-03
2021-04-08,4.39,2021-04-08,2021,4,0,False,2.0,2021-04
2021-04-14,4.41,2021-04-14,2021,4,0,False,2.0,2021-04
2021-04-21,3.92,2021-04-21,2021,4,0,False,2.0,2021-04
2021-04-27,4.18,2021-04-27,2021,4,0,False,2.0,2021-04
2021-05-05,4.12,2021-05-05,2021,5,0,False,2.0,2021-05
2021-05-12,3.96,2021-05-12,2021,5,0,False,2.0,2021-05
2021-05-21,4.34,2021-05-21,2021,5,0,False,2.0,2021-05
2021-06-05,4.13,2021-06-05,2021,6,0,False,2.0,2021-06
2021-06-22,4.44,2021-06-22,2021,6,0,False,2.0,2021-06
