tqi_mile,original_count,clean_count,time_span_days,tqi_mean,tqi_std,seasonal_amplitude,data_driven_mae,rolling_anchor_mae,post_maintenance_mae,best_strategy,trident_improvement,is_trident_effective,best_mae
1189400,508,506,4845,2.8557114624505924,0.6321473538481854,0.6211296296296296,0.4728698334820104,0.2132822257349894,0.893711403487244,rolling_anchor,54.896208082365774,True,0.2132822257349894
745400,513,485,4845,3.250185567010309,0.3536135108851394,0.6039169230769232,0.2897260273972603,0.268398346505926,0.2146803674514285,post_maintenance,25.902284520310708,True,0.2146803674514285
1037400,509,509,4845,2.7849705304518664,0.5847761543570662,0.8389424242424242,0.8202096643901009,0.7593357598036262,0.2193593069850403,post_maintenance,73.25570320508798,True,0.2193593069850403
1208400,506,503,4845,2.766149105367793,0.5653946931111062,0.6376759259259264,0.5801456389223357,0.2762310895757088,0.2278014300636688,post_maintenance,60.73375118585271,True,0.2278014300636688
712400,514,508,4845,3.280023622047244,0.3685625355840777,0.3061250000000002,0.557649489091411,0.2287601591094186,1.4556387495458507,rolling_anchor,58.97778737641418,True,0.2287601591094186
1209400,506,503,4845,2.58434393638171,0.6088090874634671,0.5410925925925922,0.4298968053883205,0.2296442822710273,1.0036709670904136,rolling_anchor,46.58153319757925,True,0.2296442822710273
930400,513,479,4845,2.854482254697286,0.2636378887791484,0.4806874999999997,0.311784701492537,0.3676978805174631,0.2326734142983831,post_maintenance,25.37369114502479,True,0.2326734142983831
936400,515,480,4845,2.83554375,0.2582913224786022,0.3410000000000002,0.2667287946428571,0.2384888453210873,0.2428901613632217,rolling_anchor,10.58751431752331,True,0.2384888453210873
1010400,511,509,4845,3.16875442043222,0.699600668298543,0.6154296296296295,1.1055940735844902,1.1163101268130589,0.2431014770923317,post_maintenance,78.01168775225406,True,0.2431014770923317
1023400,508,472,4845,3.247510593220339,0.2679214240857726,0.2564009287925701,0.3547673922321809,0.2449099656473922,0.4762528324743248,rolling_anchor,30.96604394602631,True,0.2449099656473922
883400,486,480,4845,3.6275041666666663,0.4987750422586293,0.8647941176470586,0.3837264384920635,0.2474250378532989,0.8968975982994318,rolling_anchor,35.520461184376714,True,0.2474250378532989
881400,512,457,4819,3.017371991247265,0.3519075485444455,0.5982517482517484,0.4233104356912454,0.2767576107856211,0.2507846164700402,post_maintenance,40.75633499076839,True,0.2507846164700402
892400,515,497,4845,3.1309154929577465,0.3719178619937044,0.5273809523809518,0.3500038424591737,0.2515264108163614,0.6779843329990797,rolling_anchor,28.136100149900276,True,0.2515264108163614
895400,515,511,4845,2.627078277886497,0.4874662962082499,0.9056111111111114,0.4270874531630835,0.2577409727863182,1.3561421934000877,rolling_anchor,39.6514763247096,True,0.2577409727863182
1026400,510,509,4845,2.941001964636542,0.7616514938130357,0.7504588235294123,1.3076678049496944,1.129074119031975,0.2597603096367398,post_maintenance,80.13560411493555,True,0.2597603096367398
1033400,511,510,4845,2.947072549019608,0.7441213147545737,1.02535935828877,1.0080494864612508,1.0217156630901598,0.2657215787975458,post_maintenance,73.64002637109026,True,0.2657215787975458
